日期,SKU,订单量,Session,销售额,退款金额
2026-08-17,A008,27,300,809.73,33.79
2026-08-18,A008,30,333,899.7,40.3
2026-08-19,A008,27,300,809.73,25.6
2026-08-20,A008,33,367,989.67,30.38
2026-07-22,A009,21,233,251.79,9.03
2026-07-23,A009,20,222,239.8,8.11
2026-07-24,A009,20,222,239.8,10.08
2026-07-25,A009,18,200,215.82,5.06
2026-07-26,A009,22,244,263.78,11.0
2026-07-27,A009,20,222,239.8,8.06
2026-07-28,A009,19,211,227.81,4.7
2026-07-29,A009,20,222,239.8,6.14
2026-07-30,A009,20,222,239.8,4.16
2026-07-31,A009,22,244,263.78,11.76
2026-08-01,A009,21,233,251.79,7.83
2026-08-02,A009,19,211,227.81,8.98
2026-08-03,A009,21,233,251.79,5.01
2026-08-04,A009,22,244,263.78,10.47
2026-08-05,A009,22,244,263.78,9.7
2026-08-06,A009,21,233,251.79,6.94
2026-08-07,A009,22,244,263.78,10.81
2026-08-08,A009,18,200,215.82,3.41
2026-08-09,A009,19,211,227.81,8.96
2026-08-10,A009,22,244,263.78,5.15
2026-08-11,A009,20,222,239.8,6.34
2026-08-12,A009,22,244,263.78,10.62
2026-08-13,A009,22,244,263.78,7.67
2026-08-14,A009,20,222,239.8,5.56
2026-08-15,A009,18,200,215.82,8.84
2026-08-16,A009,22,244,263.78,11.87
2026-08-17,A009,22,244,263.78,8.35
2026-08-18,A009,21,233,251.79,10.91
2026-08-19,A009,22,244,263.78,5.91
2026-08-20,A009,20,222,239.8,4.53
2026-07-22,A010,22,244,351.78,11.67
2026-07-23,A010,19,211,303.81,10.68
2026-07-24,A010,21,233,335.79,8.64
2026-07-25,A010,18,200,287.82,10.12
2026-07-26,A010,20,222,319.8,12.21
2026-07-27,A010,20,222,319.8,12.97
2026-07-28,A010,20,222,319.8,10.18
2026-07-29,A010,22,244,351.78,9.53
2026-07-30,A010,18,200,287.82,4.57
2026-07-31,A010,21,233,335.79,11.29
2026-08-01,A010,21,233,335.79,7.18
2026-08-02,A010,18,200,287.82,4.44
2026-08-03,A010,19,211,303.81,9.93
2026-08-04,A010,19,211,303.81,8.54
2026-08-05,A010,22,244,351.78,8.95
2026-08-06,A010,20,222,319.8,12.32
2026-08-07,A010,20,222,319.8,10.77
2026-08-08,A010,22,244,351.78,15.3
2026-08-09,A010,18,200,287.82,12.32
2026-08-10,A010,20,222,319.8,7.27
2026-08-11,A010,20,222,319.8,14.2
2026-08-12,A010,20,222,319.8,7.95
2026-08-13,A010,21,233,335.79,7.46
2026-08-14,A010,18,200,287.82,5.43
2026-08-15,A010,18,200,287.82,5.63
2026-08-16,A010,18,200,287.82,9.85
2026-08-17,A010,18,200,287.82,7.3
2026-08-18,A010,22,244,351.78,10.28
2026-08-19,A010,21,233,335.79,6.77
2026-08-20,A010,19,211,303.81,4.93
2026-07-22,A011,7,117,419.93,9.81
2026-07-23,A011,8,133,479.92,8.48
2026-07-24,A011,8,133,479.92,13.83
2026-07-25,A011,8,133,479.92,12.44
2026-07-26,A011,9,150,539.91,19.28
2026-07-27,A011,8,133,479.92,18.71
2026-07-28,A011,10,167,599.9,10.47
2026-07-29,A011,11,183,659.89,28.13
2026-07-30,A011,9,150,539.91,12.58
2026-07-31,A011,11,183,659.89,24.71
2026-08-01,A011,10,167,599.9,12.77
2026-08-02,A011,10,167,599.9,17.72
2026-08-03,A011,11,183,659.89,17.2
2026-08-04,A011,11,183,659.89,24.7
2026-08-05,A011,10,167,599.9,13.54
2026-08-06,A011,12,200,719.88,30.13
2026-08-07,A011,12,200,719.88,22.29
2026-08-08,A011,11,183,659.89,18.76
2026-08-09,A011,12,200,719.88,16.03
2026-08-10,A011,12,200,719.88,18.95
2026-08-11,A011,11,183,659.89,16.27
2026-08-12,A011,12,200,719.88,17.87
2026-08-13,A011,12,200,719.88,30.03
2026-08-14,A011,14,233,839.86,29.71
2026-08-15,A011,15,250,899.85,26.95
2026-08-16,A011,13,217,779.87,24.26
2026-08-17,A011,15,250,899.85,33.62
2026-08-18,A011,14,233,839.86,15.81
2026-08-19,A011,14,233,839.86,21.75
2026-08-20,A011,15,250,899.85,28.91
2026-07-22,A012,8,133,367.92,16.41
2026-07-23,A012,8,133,367.92,8.14
2026-07-24,A012,8,133,367.92,7.21
2026-07-25,A012,8,133,367.92,7.29
2026-07-26,A012,8,133,367.92,8.67
2026-07-27,A012,8,133,367.92,15.42
2026-07-28,A012,8,133,367.92,11.31
2026-07-29,A012,9,150,413.91,18.41
2026-07-30,A012,9,150,413.91,11.15
2026-07-31,A012,11,183,505.89,20.72
2026-08-01,A012,11,183,505.89,11.5
2026-08-02,A012,10,167,459.9,16.12
2026-08-03,A012,12,200,551.88,17.5
2026-08-04,A012,11,183,505.89,11.84
2026-08-05,A012,12,200,551.88,11.37
2026-08-06,A012,11,183,505.89,14.05
2026-08-07,A012,12,200,551.88,12.29
2026-08-08,A012,11,183,505.89,16.86
2026-08-09,A012,12,200,551.88,17.9
2026-08-10,A012,12,200,551.88,16.24
2026-08-11,A012,13,217,597.87,9.9
2026-08-12,A012,13,217,597.87,11.38
2026-08-13,A012,12,200,551.88,24.67
2026-08-14,A012,13,217,597.87,23.49
2026-08-15,A012,13,217,597.87,21.19
2026-08-16,A012,15,250,689.85,22.67
2026-08-17,A012,14,233,643.86,17.61
2026-08-18,A012,14,233,643.86,27.61
2026-08-19,A012,16,267,735.84,32.34
2026-08-20,A012,14,233,643.86,23.78
2026-07-22,A013,9,150,323.91,6.62
2026-07-23,A013,7,117,251.93,9.38
2026-07-24,A013,9,150,323.91,13.04
2026-07-25,A013,8,133,287.92,11.19
2026-07-26,A013,8,133,287.92,5.73
2026-07-27,A013,8,133,287.92,11.35
2026-07-28,A013,10,167,359.9,11.05
2026-07-29,A013,9,150,323.91,13.38
2026-07-30,A013,10,167,359.9,14.22
2026-07-31,A013,10,167,359.9,9.47
2026-08-01,A013,10,167,359.9,8.65
2026-08-02,A013,11,183,395.89,11.91
2026-08-03,A013,10,167,359.9,15.11
2026-08-04,A013,11,183,395.89,12.39
2026-08-05,A013,12,200,431.88,14.57
2026-08-06,A013,11,183,395.89,17.1
2026-08-07,A013,12,200,431.88,10.82
2026-08-08,A013,11,183,395.89,15.37
2026-08-09,A013,13,217,467.87,14.51
2026-08-10,A013,14,233,503.86,19.48
2026-08-11,A013,12,200,431.88,10.52
2026-08-12,A013,12,200,431.88,16.12
2026-08-13,A013,12,200,431.88,13.86
2026-08-14,A013,14,233,503.86,20.81
2026-08-15,A013,13,217,467.87,18.55
2026-08-16,A013,13,217,467.87,18.9
2026-08-17,A013,13,217,467.87,12.59
2026-08-18,A013,16,267,575.84,11.23
2026-08-19,A013,14,233,503.86,18.48
2026-08-20,A013,16,267,575.84,19.71
2026-07-22,A014,19,211,531.81,33.27
2026-07-23,A014,17,189,475.83,24.14
2026-07-24,A014,17,189,475.83,40.21
2026-07-25,A014,18,200,503.82,27.23
2026-07-26,A014,18,200,503.82,43.75
2026-07-27,A014,17,189,475.83,31.01
2026-07-28,A014,18,200,503.82,33.6
2026-07-29,A014,16,178,447.84,36.87
2026-07-30,A014,20,222,559.8,35.78
2026-07-31,A014,19,211,531.81,45.39
2026-08-01,A014,19,211,531.81,20.82
2026-08-02,A014,18,200,503.82,33.46
2026-08-03,A014,18,200,503.82,37.38
2026-08-04,A014,20,222,559.8,47.88
2026-08-05,A014,18,200,503.82,18.54
2026-08-06,A014,20,222,559.8,44.97
2026-08-07,A014,16,178,447.84,38.18
2026-08-08,A014,20,222,559.8,34.22
2026-08-09,A014,18,200,503.82,27.18
2026-08-10,A014,16,178,447.84,22.44
2026-08-11,A014,19,211,531.81,16.1
2026-08-12,A014,17,189,475.83,25.64
2026-08-13,A014,18,200,503.82,42.92
2026-08-14,A014,12,171,335.88,17.07
2026-08-15,A014,13,186,363.87,20.79
2026-08-16,A014,11,157,307.89,17.59
2026-08-17,A014,11,157,307.89,12.5
2026-08-18,A014,12,171,335.88,18.52
2026-08-19,A014,13,186,363.87,18.83
2026-08-20,A014,12,171,335.88,22.82
2026-07-22,A015,22,244,571.78,19.96
2026-07-23,A015,23,256,597.77,26.2
2026-07-24,A015,23,256,597.77,16.4
2026-07-25,A015,23,256,597.77,26.84
2026-07-26,A015,25,278,649.75,21.35
2026-07-27,A015,22,244,571.78,21.44
2026-07-28,A015,23,256,597.77,25.07
2026-07-29,A015,23,256,597.77,12.39
2026-07-30,A015,22,244,571.78,16.67
2026-07-31,A015,25,278,649.75,11.03
2026-08-01,A015,27,300,701.73,20.07
2026-08-02,A015,25,278,649.75,18.34
2026-08-03,A015,24,267,623.76,19.83
2026-08-04,A015,23,256,597.77,12.23
2026-08-05,A015,27,300,701.73,30.44
2026-08-06,A015,24,267,623.76,14.42
2026-08-07,A015,26,289,675.74,18.42
2026-08-08,A015,22,244,571.78,11.26
2026-08-09,A015,26,289,675.74,23.49
2026-08-10,A015,22,244,571.78,12.38
2026-08-11,A015,23,256,597.77,21.02
2026-08-12,A015,22,244,571.78,10.36
2026-08-13,A015,27,300,701.73,14.28
2026-08-14,A015,26,289,675.74,14.96
2026-08-15,A015,23,256,597.77,13.33
2026-08-16,A015,26,289,675.74,27.48
2026-08-17,A015,27,300,701.73,18.89
2026-08-18,A015,26,289,675.74,14.29
2026-08-19,A015,24,267,623.76,26.13
2026-08-20,A015,22,244,571.78,10.04
2026-07-22,A016,19,211,550.81,8.7
2026-07-23,A016,18,200,521.82,16.95
2026-07-24,A016,20,222,579.8,24.22
2026-07-25,A016,22,244,637.78,16.11
2026-07-26,A016,19,211,550.81,14.54
2026-07-27,A016,20,222,579.8,13.36
2026-07-28,A016,21,233,608.79,16.61
2026-07-29,A016,20,222,579.8,16.28
2026-07-30,A016,19,211,550.81,23.93
2026-07-31,A016,21,233,608.79,11.69
2026-08-01,A016,22,244,637.78,18.89
2026-08-02,A016,22,244,637.78,24.87
2026-08-03,A016,20,222,579.8,9.09
2026-08-04,A016,19,211,550.81,17.21
2026-08-05,A016,21,233,608.79,13.84
2026-08-06,A016,18,200,521.82,20.9
2026-08-07,A016,22,244,637.78,19.62
2026-08-08,A016,18,200,521.82,12.09
2026-08-09,A016,18,200,521.82,22.14
2026-08-10,A016,18,200,521.82,16.85
2026-08-11,A016,19,211,550.81,17.42
2026-08-12,A016,21,233,608.79,24.29
2026-08-13,A016,19,211,550.81,8.44
2026-08-14,A016,18,200,521.82,21.92
2026-08-15,A016,22,244,637.78,21.0
2026-08-16,A016,20,222,579.8,20.26
2026-08-17,A016,18,200,521.82,22.14
2026-08-18,A016,20,222,579.8,15.36
2026-08-19,A016,20,222,579.8,9.51
2026-08-20,A016,18,200,521.82,19.38
2026-07-22,A017,27,300,512.73,16.97
2026-07-23,A017,28,311,531.72,14.19
2026-07-24,A017,28,311,531.72,13.65
2026-07-25,A017,32,356,607.68,14.53
2026-07-26,A017,30,333,569.7,16.68
2026-07-27,A017,31,344,588.69,25.38
2026-07-28,A017,32,356,607.68,13.03
2026-07-29,A017,27,300,512.73,11.73
2026-07-30,A017,31,344,588.69,9.74
2026-07-31,A017,30,333,569.7,18.75
2026-08-01,A017,29,322,550.71,21.0
2026-08-02,A017,27,300,512.73,8.85
2026-08-03,A017,32,356,607.68,18.15
2026-08-04,A017,31,344,588.69,16.51
2026-08-05,A017,28,311,531.72,21.04
2026-08-06,A017,32,356,607.68,21.78
2026-08-07,A017,28,311,531.72,17.39
2026-08-08,A017,29,322,550.71,9.77
2026-08-09,A017,33,367,626.67,11.97
2026-08-10,A017,33,367,626.67,17.79
2026-08-11,A017,28,311,531.72,16.62
2026-08-12,A017,33,367,626.67,23.17
2026-08-13,A017,32,356,607.68,21.13
2026-08-14,A017,31,344,588.69,23.83
2026-08-15,A017,28,311,531.72,15.78
2026-08-16,A017,28,311,531.72,23.73
2026-08-17,A017,33,367,626.67,10.14
2026-08-18,A017,31,344,588.69,25.17
2026-08-19,A017,28,311,531.72,17.04
2026-08-20,A017,33,367,626.67,10.04
2026-07-22,A018,19,211,816.81,39.08
2026-07-23,A018,20,222,859.8,75.89
2026-07-24,A018,20,222,859.8,50.26
2026-07-25,A018,20,222,859.8,69.36
2026-07-26,A018,17,189,730.83,58.27
2026-07-27,A018,16,178,687.84,45.24
2026-07-28,A018,17,189,730.83,27.21
2026-07-29,A018,16,178,687.84,49.37
2026-07-30,A018,17,189,730.83,53.71
2026-07-31,A018,16,178,687.84,33.65
2026-08-01,A018,18,200,773.82,59.93
2026-08-02,A018,17,189,730.83,49.37
2026-08-03,A018,20,222,859.8,57.57
2026-08-04,A018,17,189,730.83,22.99
2026-08-05,A018,20,222,859.8,26.89
2026-08-06,A018,20,222,859.8,53.08
2026-08-07,A018,20,222,859.8,67.0
2026-08-08,A018,20,222,859.8,43.89
2026-08-09,A018,19,211,816.81,44.2
2026-08-10,A018,18,200,773.82,52.35
2026-08-11,A018,20,222,859.8,76.56
2026-08-12,A018,19,211,816.81,44.98
2026-08-13,A018,18,200,773.82,57.46
2026-08-14,A018,11,157,472.89,17.32
2026-08-15,A018,12,171,515.88,24.37
2026-08-16,A018,12,171,515.88,22.71
2026-08-17,A018,11,157,472.89,14.69
2026-08-18,A018,14,200,601.86,33.5
2026-08-19,A018,12,171,515.88,36.51
2026-08-20,A018,11,157,472.89,41.14
2026-07-22,A019,16,178,799.84,14.14
2026-07-23,A019,15,167,749.85,31.02
2026-07-24,A019,17,189,849.83,24.66
2026-07-25,A019,15,167,749.85,15.01
2026-07-26,A019,17,189,849.83,18.65
2026-07-27,A019,17,189,849.83,29.31
2026-07-28,A019,15,167,749.85,22.78
2026-07-29,A019,14,156,699.86,14.2
2026-07-30,A019,14,156,699.86,14.41
2026-07-31,A019,16,178,799.84,20.4
2026-08-01,A019,13,144,649.87,28.64
2026-08-02,A019,16,178,799.84,34.26
2026-08-03,A019,17,189,849.83,17.18
2026-08-04,A019,15,167,749.85,28.3
2026-08-05,A019,16,178,799.84,15.69
2026-08-06,A019,16,178,799.84,17.38
2026-08-07,A019,14,156,699.86,21.77
2026-08-08,A019,15,167,749.85,24.3
2026-08-09,A019,14,156,699.86,28.92
2026-08-10,A019,14,156,699.86,13.22
2026-08-11,A019,16,178,799.84,34.93
2026-08-12,A019,16,178,799.84,31.42
2026-08-13,A019,16,178,799.84,25.22
2026-08-14,A019,14,156,699.86,19.07
2026-08-15,A019,15,167,749.85,17.09
2026-08-16,A019,16,178,799.84,23.9
2026-08-17,A019,13,144,649.87,14.04
2026-08-18,A019,16,178,799.84,13.82
2026-08-19,A019,16,178,799.84,23.88
2026-08-20,A019,15,167,749.85,24.57
2026-07-22,A020,27,300,917.73,23.34
2026-07-23,A020,26,289,883.74,28.25
2026-07-24,A020,24,267,815.76,33.74
2026-07-25,A020,27,300,917.73,31.89
2026-07-26,A020,27,300,917.73,37.64
2026-07-27,A020,26,289,883.74,35.45
2026-07-28,A020,26,289,883.74,31.29
2026-07-29,A020,26,289,883.74,33.21
2026-07-30,A020,23,256,781.77,32.39
2026-07-31,A020,27,300,917.73,14.57
2026-08-01,A020,27,300,917.73,17.31
2026-08-02,A020,24,267,815.76,30.43
2026-08-03,A020,23,256,781.77,30.91
2026-08-04,A020,27,300,917.73,27.74
2026-08-05,A020,22,244,747.78,17.66
2026-08-06,A020,26,289,883.74,39.27
2026-08-07,A020,26,289,883.74,20.14
2026-08-08,A020,26,289,883.74,27.57
2026-08-09,A020,27,300,917.73,16.71
2026-08-10,A020,27,300,917.73,28.67
2026-08-11,A020,28,311,951.72,24.04
2026-08-12,A020,26,289,883.74,37.97
2026-08-13,A020,23,256,781.77,33.71
2026-08-14,A020,26,289,883.74,15.05
2026-08-15,A020,24,267,815.76,29.57
2026-08-16,A020,22,244,747.78,24.28
2026-08-17,A020,24,267,815.76,27.43
2026-08-18,A020,22,244,747.78,30.77
2026-08-19,A020,28,311,951.72,41.94
2026-08-20,A020,26,289,883.74,16.7
