日期,SKU,广告花费,广告销售额,点击,曝光
2026-08-07,A002,182.1,758.77,228,45600
2026-08-08,A002,174.19,725.78,218,43600
2026-08-09,A002,217.74,907.23,272,54400
2026-08-10,A002,201.9,841.25,252,50400
2026-08-11,A002,213.78,890.73,267,53400
2026-08-12,A002,197.94,824.75,247,49400
2026-08-13,A002,178.14,742.27,223,44600
2026-08-14,A002,182.1,758.77,228,45600
2026-08-15,A002,205.86,857.74,257,51400
2026-08-16,A002,193.98,808.25,242,48400
2026-08-17,A002,182.1,758.77,228,45600
2026-08-18,A002,197.94,824.75,247,49400
2026-08-19,A002,178.14,742.27,223,44600
2026-08-20,A002,201.9,841.25,252,50400
2026-07-22,A003,140.94,587.26,176,35200
2026-07-23,A003,161.94,674.73,202,40400
2026-07-24,A003,143.94,599.76,180,36000
2026-07-25,A003,146.94,612.25,184,36800
2026-07-26,A003,131.95,549.78,165,33000
2026-07-27,A003,134.94,562.27,169,33800
2026-07-28,A003,146.94,612.25,184,36800
2026-07-29,A003,149.94,624.75,187,37400
2026-07-30,A003,152.94,637.25,191,38200
2026-07-31,A003,140.94,587.26,176,35200
2026-08-01,A003,155.94,649.74,195,39000
2026-08-02,A003,161.94,674.73,202,40400
2026-08-03,A003,158.94,662.24,199,39800
2026-08-04,A003,131.95,549.78,165,33000
2026-08-05,A003,149.94,624.75,187,37400
2026-08-06,A003,134.94,562.27,169,33800
2026-08-07,A003,140.94,587.26,176,35200
2026-08-08,A003,167.93,699.72,210,42000
2026-08-09,A003,137.94,574.77,172,34400
2026-08-10,A003,149.94,624.75,187,37400
2026-08-11,A003,152.94,637.25,191,38200
2026-08-12,A003,155.94,649.74,195,39000
2026-08-13,A003,152.94,637.25,191,38200
2026-08-14,A003,131.95,549.78,165,33000
2026-08-15,A003,143.94,599.76,180,36000
2026-08-16,A003,149.94,624.75,187,37400
2026-08-17,A003,134.94,562.27,169,33800
2026-08-18,A003,143.94,599.76,180,36000
2026-08-19,A003,131.95,549.78,165,33000
2026-08-20,A003,134.94,562.27,169,33800
2026-07-22,A004,47.98,199.9,60,12000
2026-07-23,A004,43.18,179.91,54,10800
2026-07-24,A004,47.98,199.9,60,12000
2026-07-25,A004,50.38,209.9,63,12600
2026-07-26,A004,50.38,209.9,63,12600
2026-07-27,A004,45.58,189.91,57,11400
2026-07-28,A004,43.18,179.91,54,10800
2026-07-29,A004,43.18,179.91,54,10800
2026-07-30,A004,50.38,209.9,63,12600
2026-07-31,A004,50.38,209.9,63,12600
2026-08-01,A004,43.18,179.91,54,10800
2026-08-02,A004,52.77,219.89,66,13200
2026-08-03,A004,43.18,179.91,54,10800
2026-08-04,A004,47.98,199.9,60,12000
2026-08-05,A004,50.38,209.9,63,12600
2026-08-06,A004,52.77,219.89,66,13200
2026-08-07,A004,50.38,209.9,63,12600
2026-08-08,A004,50.38,209.9,63,12600
2026-08-09,A004,45.58,189.91,57,11400
2026-08-10,A004,52.77,219.89,66,13200
2026-08-11,A004,43.18,179.91,54,10800
2026-08-12,A004,52.77,219.89,66,13200
2026-08-13,A004,47.98,199.9,60,12000
2026-08-14,A004,52.77,219.89,66,13200
2026-08-15,A004,47.98,199.9,60,12000
2026-08-16,A004,50.38,209.9,63,12600
2026-08-17,A004,47.98,199.9,60,12000
2026-08-18,A004,50.38,209.9,63,12600
2026-08-19,A004,43.18,179.91,54,10800
2026-08-20,A004,43.18,179.91,54,10800
2026-07-22,A005,29.62,123.41,37,7400
2026-07-23,A005,28.06,116.91,35,7000
2026-07-24,A005,34.29,142.89,43,8600
2026-07-25,A005,29.62,123.41,37,7400
2026-07-26,A005,34.29,142.89,43,8600
2026-07-27,A005,29.62,123.41,37,7400
2026-07-28,A005,28.06,116.91,35,7000
2026-07-29,A005,32.74,136.4,41,8200
2026-07-30,A005,32.74,136.4,41,8200
2026-07-31,A005,31.18,129.9,39,7800
2026-08-01,A005,31.18,129.9,39,7800
2026-08-02,A005,32.74,136.4,41,8200
2026-08-03,A005,29.62,123.41,37,7400
2026-08-04,A005,34.29,142.89,43,8600
2026-08-05,A005,34.29,142.89,43,8600
2026-08-06,A005,32.74,136.4,41,8200
2026-08-07,A005,29.62,123.41,37,7400
2026-08-08,A005,32.74,136.4,41,8200
2026-08-09,A005,28.06,116.91,35,7000
2026-08-10,A005,28.06,116.91,35,7000
2026-08-11,A005,29.62,123.41,37,7400
2026-08-12,A005,31.18,129.9,39,7800
2026-08-13,A005,34.29,142.89,43,8600
2026-08-14,A005,32.74,136.4,41,8200
2026-08-15,A005,32.74,136.4,41,8200
2026-08-16,A005,31.18,129.9,39,7800
2026-08-17,A005,29.62,123.41,37,7400
2026-08-18,A005,29.62,123.41,37,7400
2026-08-19,A005,34.29,142.89,43,8600
2026-08-20,A005,28.06,116.91,35,7000
2026-07-22,A006,60.69,252.89,76,15200
2026-07-23,A006,55.18,229.9,69,13800
2026-07-24,A006,55.18,229.9,69,13800
2026-07-25,A006,57.94,241.4,72,14400
2026-07-26,A006,55.18,229.9,69,13800
2026-07-27,A006,60.69,252.89,76,15200
2026-07-28,A006,60.69,252.89,76,15200
2026-07-29,A006,55.18,229.9,69,13800
2026-07-30,A006,52.42,218.41,66,13200
2026-07-31,A006,55.18,229.9,69,13800
2026-08-01,A006,60.69,252.89,76,15200
2026-08-02,A006,52.42,218.41,66,13200
2026-08-03,A006,57.94,241.4,72,14400
2026-08-04,A006,57.94,241.4,72,14400
2026-08-05,A006,57.94,241.4,72,14400
2026-08-06,A006,49.66,206.91,62,12400
2026-08-07,A006,57.94,241.4,72,14400
2026-08-08,A006,60.69,252.89,76,15200
2026-08-09,A006,49.66,206.91,62,12400
2026-08-10,A006,52.42,218.41,66,13200
2026-08-11,A006,60.69,252.89,76,15200
2026-08-12,A006,49.66,206.91,62,12400
2026-08-13,A006,60.69,252.89,76,15200
2026-08-14,A006,55.18,229.9,69,13800
2026-08-15,A006,52.42,218.41,66,13200
2026-08-16,A006,60.69,252.89,76,15200
2026-08-17,A006,55.18,229.9,69,13800
2026-08-18,A006,55.18,229.9,69,13800
2026-08-19,A006,52.42,218.41,66,13200
2026-08-20,A006,55.18,229.9,69,13800
2026-07-22,A007,36.7,152.91,46,9200
2026-07-23,A007,38.74,161.41,48,9600
2026-07-24,A007,44.85,186.89,56,11200
2026-07-25,A007,38.74,161.41,48,9600
2026-07-26,A007,42.82,178.4,54,10800
2026-07-27,A007,38.74,161.41,48,9600
2026-07-28,A007,42.82,178.4,54,10800
2026-07-29,A007,36.7,152.91,46,9200
2026-07-30,A007,44.85,186.89,56,11200
2026-07-31,A007,40.78,169.9,51,10200
2026-08-01,A007,38.74,161.41,48,9600
2026-08-02,A007,36.7,152.91,46,9200
2026-08-03,A007,36.7,152.91,46,9200
2026-08-04,A007,40.78,169.9,51,10200
2026-08-05,A007,38.74,161.41,48,9600
2026-08-06,A007,44.85,186.89,56,11200
2026-08-07,A007,40.78,169.9,51,10200
2026-08-08,A007,38.74,161.41,48,9600
2026-08-09,A007,42.82,178.4,54,10800
2026-08-10,A007,42.82,178.4,54,10800
2026-08-11,A007,36.7,152.91,46,9200
2026-08-12,A007,36.7,152.91,46,9200
2026-08-13,A007,36.7,152.91,46,9200
2026-08-14,A007,42.82,178.4,54,10800
2026-08-15,A007,42.82,178.4,54,10800
2026-08-16,A007,40.78,169.9,51,10200
2026-08-17,A007,44.85,186.89,56,11200
2026-08-18,A007,42.82,178.4,54,10800
2026-08-19,A007,40.78,169.9,51,10200
2026-08-20,A007,44.85,186.89,56,11200
2026-07-22,A008,100.77,419.86,126,25200
2026-07-23,A008,97.17,404.87,121,24200
2026-07-24,A008,100.77,419.86,126,25200
2026-07-25,A008,97.17,404.87,121,24200
2026-07-26,A008,107.96,449.85,135,27000
2026-07-27,A008,118.76,494.83,148,29600
2026-07-28,A008,97.17,404.87,121,24200
2026-07-29,A008,97.17,404.87,121,24200
2026-07-30,A008,107.96,449.85,135,27000
2026-07-31,A008,118.76,494.83,148,29600
2026-08-01,A008,104.37,434.86,130,26000
2026-08-02,A008,107.96,449.85,135,27000
2026-08-03,A008,97.17,404.87,121,24200
2026-08-04,A008,97.17,404.87,121,24200
2026-08-05,A008,122.36,509.83,153,30600
2026-08-06,A008,118.76,494.83,148,29600
2026-08-07,A008,93.57,389.87,117,23400
2026-08-08,A008,118.76,494.83,148,29600
2026-08-09,A008,111.56,464.85,139,27800
2026-08-10,A008,118.76,494.83,148,29600
2026-08-11,A008,107.96,449.85,135,27000
2026-08-12,A008,107.96,449.85,135,27000
2026-08-13,A008,107.96,449.85,135,27000
2026-08-14,A008,111.56,464.85,139,27800
2026-08-15,A008,97.17,404.87,121,24200
2026-08-16,A008,97.17,404.87,121,24200
2026-08-17,A008,104.37,434.86,130,26000
2026-08-18,A008,111.56,464.85,139,27800
2026-08-19,A008,100.77,419.86,126,25200
2026-08-20,A008,111.56,464.85,139,27800
2026-07-22,A009,31.65,131.89,40,8000
2026-07-23,A009,25.9,107.91,32,6400
2026-07-24,A009,30.21,125.89,38,7600
2026-07-25,A009,28.78,119.9,36,7200
2026-07-26,A009,31.65,131.89,40,8000
2026-07-27,A009,25.9,107.91,32,6400
2026-07-28,A009,30.21,125.89,38,7600
2026-07-29,A009,31.65,131.89,40,8000
2026-07-30,A009,31.65,131.89,40,8000
2026-07-31,A009,30.21,125.89,38,7600
2026-08-01,A009,28.78,119.9,36,7200
2026-08-02,A009,30.21,125.89,38,7600
2026-08-03,A009,31.65,131.89,40,8000
2026-08-04,A009,28.78,119.9,36,7200
2026-08-05,A009,25.9,107.91,32,6400
2026-08-06,A009,31.65,131.89,40,8000
2026-08-07,A009,30.21,125.89,38,7600
2026-08-08,A009,30.21,125.89,38,7600
2026-08-09,A009,27.34,113.91,34,6800
2026-08-10,A009,30.21,125.89,38,7600
2026-08-11,A009,27.34,113.91,34,6800
2026-08-12,A009,30.21,125.89,38,7600
2026-08-13,A009,25.9,107.91,32,6400
2026-08-14,A009,30.21,125.89,38,7600
2026-08-15,A009,31.65,131.89,40,8000
2026-08-16,A009,25.9,107.91,32,6400
2026-08-17,A009,31.65,131.89,40,8000
2026-08-18,A009,28.78,119.9,36,7200
2026-08-19,A009,31.65,131.89,40,8000
2026-08-20,A009,30.21,125.89,38,7600
2026-07-22,A010,38.38,159.9,48,9600
2026-07-23,A010,40.3,167.9,50,10000
2026-07-24,A010,42.21,175.89,53,10600
2026-07-25,A010,38.38,159.9,48,9600
2026-07-26,A010,36.46,151.91,46,9200
2026-07-27,A010,40.3,167.9,50,10000
2026-07-28,A010,40.3,167.9,50,10000
2026-07-29,A010,40.3,167.9,50,10000
2026-07-30,A010,40.3,167.9,50,10000
2026-07-31,A010,38.38,159.9,48,9600
2026-08-01,A010,42.21,175.89,53,10600
2026-08-02,A010,34.54,143.91,43,8600
2026-08-03,A010,38.38,159.9,48,9600
2026-08-04,A010,34.54,143.91,43,8600
2026-08-05,A010,36.46,151.91,46,9200
2026-08-06,A010,36.46,151.91,46,9200
2026-08-07,A010,38.38,159.9,48,9600
2026-08-08,A010,40.3,167.9,50,10000
2026-08-09,A010,36.46,151.91,46,9200
2026-08-10,A010,38.38,159.9,48,9600
2026-08-11,A010,36.46,151.91,46,9200
2026-08-12,A010,36.46,151.91,46,9200
2026-08-13,A010,36.46,151.91,46,9200
2026-08-14,A010,34.54,143.91,43,8600
2026-08-15,A010,38.38,159.9,48,9600
2026-08-16,A010,40.3,167.9,50,10000
2026-08-17,A010,40.3,167.9,50,10000
2026-08-18,A010,38.38,159.9,48,9600
2026-08-19,A010,36.46,151.91,46,9200
2026-08-20,A010,42.21,175.89,53,10600
2026-07-22,A011,95.98,239.96,120,24000
2026-07-23,A011,95.98,239.96,120,24000
2026-07-24,A011,95.98,239.96,120,24000
2026-07-25,A011,95.98,239.96,120,24000
2026-07-26,A011,107.98,269.95,135,27000
2026-07-27,A011,107.98,269.95,135,27000
2026-07-28,A011,119.98,299.95,150,30000
2026-07-29,A011,119.98,299.95,150,30000
2026-07-30,A011,119.98,299.95,150,30000
2026-07-31,A011,131.98,329.94,165,33000
2026-08-01,A011,131.98,329.94,165,33000
2026-08-02,A011,131.98,329.94,165,33000
2026-08-03,A011,143.98,359.94,180,36000
2026-08-04,A011,119.98,299.95,150,30000
2026-08-05,A011,131.98,329.94,165,33000
2026-08-06,A011,119.98,299.95,150,30000
2026-08-07,A011,143.98,359.94,180,36000
2026-08-08,A011,155.98,389.94,195,39000
2026-08-09,A011,143.98,359.94,180,36000
2026-08-10,A011,167.97,419.93,210,42000
2026-08-11,A011,131.98,329.94,165,33000
2026-08-12,A011,167.97,419.93,210,42000
2026-08-13,A011,155.98,389.94,195,39000
2026-08-14,A011,143.98,359.94,180,36000
2026-08-15,A011,167.97,419.93,210,42000
2026-08-16,A011,155.98,389.94,195,39000
2026-08-17,A011,167.97,419.93,210,42000
2026-08-18,A011,167.97,419.93,210,42000
2026-08-19,A011,191.97,479.92,240,48000
2026-08-20,A011,179.97,449.93,225,45000
2026-07-22,A012,73.58,183.96,92,18400
2026-07-23,A012,73.58,183.96,92,18400
2026-07-24,A012,82.78,206.96,103,20600
2026-07-25,A012,73.58,183.96,92,18400
2026-07-26,A012,82.78,206.96,103,20600
2026-07-27,A012,73.58,183.96,92,18400
2026-07-28,A012,82.78,206.96,103,20600
2026-07-29,A012,91.98,229.95,115,23000
2026-07-30,A012,82.78,206.96,103,20600
2026-07-31,A012,91.98,229.95,115,23000
2026-08-01,A012,101.18,252.94,126,25200
2026-08-02,A012,91.98,229.95,115,23000
2026-08-03,A012,101.18,252.94,126,25200
2026-08-04,A012,91.98,229.95,115,23000
2026-08-05,A012,119.58,298.94,149,29800
2026-08-06,A012,110.38,275.94,138,27600
2026-08-07,A012,119.58,298.94,149,29800
2026-08-08,A012,110.38,275.94,138,27600
2026-08-09,A012,101.18,252.94,126,25200
2026-08-10,A012,119.58,298.94,149,29800
2026-08-11,A012,128.77,321.93,161,32200
2026-08-12,A012,119.58,298.94,149,29800
2026-08-13,A012,128.77,321.93,161,32200
2026-08-14,A012,137.97,344.93,172,34400
2026-08-15,A012,119.58,298.94,149,29800
2026-08-16,A012,119.58,298.94,149,29800
2026-08-17,A012,137.97,344.93,172,34400
2026-08-18,A012,128.77,321.93,161,32200
2026-08-19,A012,147.17,367.92,184,36800
2026-08-20,A012,147.17,367.92,184,36800
2026-07-22,A013,57.58,143.96,72,14400
2026-07-23,A013,57.58,143.96,72,14400
2026-07-24,A013,64.78,161.96,81,16200
2026-07-25,A013,57.58,143.96,72,14400
2026-07-26,A013,71.98,179.95,90,18000
2026-07-27,A013,64.78,161.96,81,16200
2026-07-28,A013,71.98,179.95,90,18000
2026-07-29,A013,64.78,161.96,81,16200
2026-07-30,A013,71.98,179.95,90,18000
2026-07-31,A013,71.98,179.95,90,18000
2026-08-01,A013,79.18,197.94,99,19800
2026-08-02,A013,71.98,179.95,90,18000
2026-08-03,A013,79.18,197.94,99,19800
2026-08-04,A013,86.38,215.94,108,21600
2026-08-05,A013,79.18,197.94,99,19800
2026-08-06,A013,71.98,179.95,90,18000
2026-08-07,A013,71.98,179.95,90,18000
2026-08-08,A013,86.38,215.94,108,21600
2026-08-09,A013,93.58,233.94,117,23400
2026-08-10,A013,93.58,233.94,117,23400
2026-08-11,A013,86.38,215.94,108,21600
2026-08-12,A013,93.58,233.94,117,23400
2026-08-13,A013,100.77,251.93,126,25200
2026-08-14,A013,100.77,251.93,126,25200
2026-08-15,A013,107.97,269.93,135,27000
2026-08-16,A013,93.58,233.94,117,23400
2026-08-17,A013,107.97,269.93,135,27000
2026-08-18,A013,100.77,251.93,126,25200
2026-08-19,A013,100.77,251.93,126,25200
2026-08-20,A013,115.17,287.92,144,28800
2026-07-22,A014,93.06,265.9,116,23200
2026-07-23,A014,97.96,279.9,122,24400
2026-07-24,A014,78.37,223.92,98,19600
2026-07-25,A014,78.37,223.92,98,19600
2026-07-26,A014,93.06,265.9,116,23200
2026-07-27,A014,88.17,251.91,110,22000
2026-07-28,A014,83.27,237.91,104,20800
2026-07-29,A014,78.37,223.92,98,19600
2026-07-30,A014,78.37,223.92,98,19600
2026-07-31,A014,97.96,279.9,122,24400
2026-08-01,A014,83.27,237.91,104,20800
2026-08-02,A014,83.27,237.91,104,20800
2026-08-03,A014,83.27,237.91,104,20800
2026-08-04,A014,83.27,237.91,104,20800
2026-08-05,A014,78.37,223.92,98,19600
2026-08-06,A014,88.17,251.91,110,22000
2026-08-07,A014,78.37,223.92,98,19600
2026-08-08,A014,93.06,265.9,116,23200
2026-08-09,A014,83.27,237.91,104,20800
2026-08-10,A014,88.17,251.91,110,22000
2026-08-11,A014,97.96,279.9,122,24400
2026-08-12,A014,93.06,265.9,116,23200
2026-08-13,A014,88.17,251.91,110,22000
2026-08-14,A014,58.78,167.94,73,14600
2026-08-15,A014,58.78,167.94,73,14600
2026-08-16,A014,63.68,181.94,80,16000
2026-08-17,A014,68.58,195.93,86,17200
2026-08-18,A014,63.68,181.94,80,16000
2026-08-19,A014,58.78,167.94,73,14600
2026-08-20,A014,63.68,181.94,80,16000
2026-07-22,A015,81.22,324.88,102,20400
2026-07-23,A015,71.47,285.89,89,17800
2026-07-24,A015,81.22,324.88,102,20400
2026-07-25,A015,90.97,363.86,114,22800
2026-07-26,A015,74.72,298.88,93,18600
2026-07-27,A015,84.47,337.87,106,21200
2026-07-28,A015,74.72,298.88,93,18600
2026-07-29,A015,81.22,324.88,102,20400
2026-07-30,A015,74.72,298.88,93,18600
2026-07-31,A015,81.22,324.88,102,20400
2026-08-01,A015,87.72,350.87,110,22000
2026-08-02,A015,77.97,311.88,97,19400
2026-08-03,A015,84.47,337.87,106,21200
2026-08-04,A015,87.72,350.87,110,22000
2026-08-05,A015,90.97,363.86,114,22800
2026-08-06,A015,74.72,298.88,93,18600
2026-08-07,A015,77.97,311.88,97,19400
2026-08-08,A015,74.72,298.88,93,18600
2026-08-09,A015,90.97,363.86,114,22800
2026-08-10,A015,90.97,363.86,114,22800
2026-08-11,A015,81.22,324.88,102,20400
2026-08-12,A015,87.72,350.87,110,22000
2026-08-13,A015,81.22,324.88,102,20400
2026-08-14,A015,141.91,337.87,177,35400
2026-08-15,A015,125.53,298.88,157,31400
2026-08-16,A015,147.37,350.87,184,36800
2026-08-17,A015,125.53,298.88,157,31400
2026-08-18,A015,147.37,350.87,184,36800
2026-08-19,A015,147.37,350.87,184,36800
2026-08-20,A015,141.91,337.87,177,35400
2026-07-22,A016,62.62,260.91,78,15600
2026-07-23,A016,66.1,275.4,83,16600
2026-07-24,A016,66.1,275.4,83,16600
2026-07-25,A016,66.1,275.4,83,16600
2026-07-26,A016,62.62,260.91,78,15600
2026-07-27,A016,76.53,318.89,96,19200
2026-07-28,A016,69.58,289.9,87,17400
2026-07-29,A016,66.1,275.4,83,16600
2026-07-30,A016,69.58,289.9,87,17400
2026-07-31,A016,69.58,289.9,87,17400
2026-08-01,A016,69.58,289.9,87,17400
2026-08-02,A016,69.58,289.9,87,17400
2026-08-03,A016,76.53,318.89,96,19200
2026-08-04,A016,69.58,289.9,87,17400
2026-08-05,A016,76.53,318.89,96,19200
2026-08-06,A016,76.53,318.89,96,19200
2026-08-07,A016,66.1,275.4,83,16600
2026-08-08,A016,76.53,318.89,96,19200
2026-08-09,A016,62.62,260.91,78,15600
2026-08-10,A016,76.53,318.89,96,19200
2026-08-11,A016,66.1,275.4,83,16600
2026-08-12,A016,76.53,318.89,96,19200
2026-08-13,A016,76.53,318.89,96,19200
2026-08-14,A016,73.05,304.39,91,18200
2026-08-15,A016,73.05,304.39,91,18200
2026-08-16,A016,66.1,275.4,83,16600
2026-08-17,A016,62.62,260.91,78,15600
2026-08-18,A016,69.58,289.9,87,17400
2026-08-19,A016,62.62,260.91,78,15600
2026-08-20,A016,73.05,304.39,91,18200
2026-07-22,A017,66.09,275.36,83,16600
2026-07-23,A017,75.2,313.33,94,18800
2026-07-24,A017,70.64,294.35,88,17600
2026-07-25,A017,72.92,303.84,91,18200
2026-07-26,A017,61.53,256.37,77,15400
2026-07-27,A017,75.2,313.33,94,18800
2026-07-28,A017,75.2,313.33,94,18800
2026-07-29,A017,68.36,284.85,85,17000
2026-07-30,A017,70.64,294.35,88,17600
2026-07-31,A017,72.92,303.84,91,18200
2026-08-01,A017,63.81,265.86,80,16000
2026-08-02,A017,68.36,284.85,85,17000
2026-08-03,A017,66.09,275.36,83,16600
2026-08-04,A017,61.53,256.37,77,15400
2026-08-05,A017,66.09,275.36,83,16600
2026-08-06,A017,61.53,256.37,77,15400
2026-08-07,A017,61.53,256.37,77,15400
2026-08-08,A017,61.53,256.37,77,15400
2026-08-09,A017,75.2,313.33,94,18800
2026-08-10,A017,68.36,284.85,85,17000
2026-08-11,A017,75.2,313.33,94,18800
2026-08-12,A017,68.36,284.85,85,17000
2026-08-13,A017,66.09,275.36,83,16600
2026-08-14,A017,68.36,284.85,85,17000
2026-08-15,A017,68.36,284.85,85,17000
2026-08-16,A017,61.53,256.37,77,15400
2026-08-17,A017,70.64,294.35,88,17600
2026-08-18,A017,63.81,265.86,80,16000
2026-08-19,A017,70.64,294.35,88,17600
2026-08-20,A017,70.64,294.35,88,17600
2026-07-22,A018,120.37,343.92,150,30000
2026-07-23,A018,120.37,343.92,150,30000
2026-07-24,A018,142.94,408.4,179,35800
2026-07-25,A018,135.42,386.91,169,33800
2026-07-26,A018,120.37,343.92,150,30000
2026-07-27,A018,150.46,429.9,188,37600
2026-07-28,A018,120.37,343.92,150,30000
2026-07-29,A018,142.94,408.4,179,35800
2026-07-30,A018,150.46,429.9,188,37600
2026-07-31,A018,127.9,365.42,160,32000
2026-08-01,A018,120.37,343.92,150,30000
2026-08-02,A018,120.37,343.92,150,30000
2026-08-03,A018,127.9,365.42,160,32000
2026-08-04,A018,120.37,343.92,150,30000
2026-08-05,A018,142.94,408.4,179,35800
2026-08-06,A018,120.37,343.92,150,30000
2026-08-07,A018,135.42,386.91,169,33800
2026-08-08,A018,150.46,429.9,188,37600
2026-08-09,A018,142.94,408.4,179,35800
2026-08-10,A018,135.42,386.91,169,33800
2026-08-11,A018,127.9,365.42,160,32000
2026-08-12,A018,142.94,408.4,179,35800
2026-08-13,A018,135.42,386.91,169,33800
2026-08-14,A018,90.28,257.94,113,22600
2026-08-15,A018,82.75,236.44,103,20600
2026-08-16,A018,97.8,279.44,122,24400
2026-08-17,A018,90.28,257.94,113,22600
2026-08-18,A018,82.75,236.44,103,20600
2026-08-19,A018,90.28,257.94,113,22600
2026-08-20,A018,90.28,257.94,113,22600
2026-07-22,A019,95.98,399.92,120,24000
2026-07-23,A019,95.98,399.92,120,24000
2026-07-24,A019,95.98,399.92,120,24000
2026-07-25,A019,77.99,324.94,97,19400
2026-07-26,A019,89.98,374.93,112,22400
2026-07-27,A019,89.98,374.93,112,22400
2026-07-28,A019,77.99,324.94,97,19400
2026-07-29,A019,83.98,349.93,105,21000
2026-07-30,A019,95.98,399.92,120,24000
2026-07-31,A019,83.98,349.93,105,21000
2026-08-01,A019,89.98,374.93,112,22400
2026-08-02,A019,83.98,349.93,105,21000
2026-08-03,A019,77.99,324.94,97,19400
2026-08-04,A019,83.98,349.93,105,21000
2026-08-05,A019,101.98,424.92,127,25400
2026-08-06,A019,95.98,399.92,120,24000
2026-08-07,A019,101.98,424.92,127,25400
2026-08-08,A019,89.98,374.93,112,22400
2026-08-09,A019,83.98,349.93,105,21000
2026-08-10,A019,89.98,374.93,112,22400
2026-08-11,A019,89.98,374.93,112,22400
2026-08-12,A019,95.98,399.92,120,24000
2026-08-13,A019,83.98,349.93,105,21000
2026-08-14,A019,89.98,374.93,112,22400
2026-08-15,A019,83.98,349.93,105,21000
2026-08-16,A019,83.98,349.93,105,21000
2026-08-17,A019,95.98,399.92,120,24000
2026-08-18,A019,89.98,374.93,112,22400
2026-08-19,A019,89.98,374.93,112,22400
2026-08-20,A019,89.98,374.93,112,22400
2026-07-22,A020,106.22,424.88,133,26600
2026-07-23,A020,114.72,458.87,143,28600
2026-07-24,A020,114.72,458.87,143,28600
2026-07-25,A020,118.97,475.86,149,29800
2026-07-26,A020,114.72,458.87,143,28600
2026-07-27,A020,101.97,407.88,127,25400
2026-07-28,A020,110.47,441.87,138,27600
2026-07-29,A020,106.22,424.88,133,26600
2026-07-30,A020,101.97,407.88,127,25400
2026-07-31,A020,114.72,458.87,143,28600
2026-08-01,A020,93.47,373.89,117,23400
2026-08-02,A020,114.72,458.87,143,28600
2026-08-03,A020,106.22,424.88,133,26600
2026-08-04,A020,110.47,441.87,138,27600
2026-08-05,A020,110.47,441.87,138,27600
2026-08-06,A020,114.72,458.87,143,28600
2026-08-07,A020,110.47,441.87,138,27600
2026-08-08,A020,110.47,441.87,138,27600
2026-08-09,A020,93.47,373.89,117,23400
2026-08-10,A020,106.22,424.88,133,26600
2026-08-11,A020,97.72,390.88,122,24400
2026-08-12,A020,110.47,441.87,138,27600
2026-08-13,A020,106.22,424.88,133,26600
2026-08-14,A020,185.59,441.87,232,46400
2026-08-15,A020,157.03,373.89,196,39200
2026-08-16,A020,164.17,390.88,205,41000
2026-08-17,A020,185.59,441.87,232,46400
2026-08-18,A020,157.03,373.89,196,39200
2026-08-19,A020,157.03,373.89,196,39200
2026-08-20,A020,157.03,373.89,196,39200
